IPA_Number,Symbol,Symbol_Name,Voicing,Place_of_Articulation,Manner_of_Articulation,Status,UCS_Code,AFII_Code
148,ɬ,belted L,voiceless,dental;alveolar,lateral fricative,,026C,E2BB
149,ɮ,L-ezh ligature,voiced,dental;alveolar,lateral fricative,,026E,E2BC
150,ʋ,cursive V,voiced,labiodental,approximant,,028B,E2AE
151,ɹ,turned R,voiced,dental;alveolar,approximant,,0279,E2BA
152,ɻ,"turned R, right tail",voiced,retroflex,approximant,,027B,E2CB
153,j,lower-case J,voiced,palatal,approximant,,006A,E2DB
154,ɰ,"turned M, right leg",voiced,velar,approximant,,0270,E2E2
155,l,lower-case L,voiced,dental;alveolar,lateral approximant,,006C,E2BD
156,ɭ,right-tail L,voiced,retroflex,lateral approximant,,026D,E2CC
157,ʎ,turned Y,voiced,palatal,lateral approximant,,028E,E2DC
158,ʟ,small capital L,voiced,velar,lateral approximant,,029F,E2F5
159,ƥ,hooktop P,voiceless,bilabial,implosive,withdrawn (1993),01A5,2378
160,ɓ,hooktop B,voiced,bilabial,implosive,,0253,E2A9
161,ƭ,hooktop T,voiceless,dental;alveolar,implosive,withdrawn (1993),01AD,2379
162,ɗ,hooktop D,voiced,dental;alveolar,implosive,,0257,E2C2
163,ƈ,hooktop C,voiceless,palatal,implosive,withdrawn (1993),0188,2376
164,ʄ,hooktop barred dotless J,voiced,palatal,implosive,,0284,E27C
165,ƙ,hooktop K,voiceless,velar,implosive,withdrawn (1993),0199,2363
166,ɠ,hooktop G,voiced,velar,implosive,,0260,E27E
167,ʠ,hooktop Q,voiceless,uvular,implosive,withdrawn (1993),02A0,E2F6
168,ʛ,hooktop small capital G,voiced,uvular,implosive,,029B,E2F1
169,ʍ,turned W,voiceless,labial-velar,fricative,,028D,E2A7
170,w,lower-case W,voiced,labial-velar,approximant,,0077,E2A8
171,ɥ,turned H,voiced,labial-palatal,approximant,,0265,E2A6
172,ʜ,small capital H,voiceless,epiglottal,fricative,,029C,E2F2
173,ʡ,barred glottal stop,,epiglottal,plosive,,02A1,E2F7
174,ʢ,barred reversed glottal stop,voiced,epiglottal,fricative;approximant,,02A2,E2F8
175,ɧ,hooktop heng,voiceless,simultaneous postalveolar and velar,fricative,,0267,E2D6
176,ʘ,bull’s eye,,bilabial,click,,0298,E2AA
177,ǀ,pipe,,dental,click,,01C0,23A6
178,ǃ,exclamation point,,(post)alveolar,click,,01C3,23A5
179,ǂ,double-barred pipe,,palatoalveolar,click,,01C2,23A4
180,ǁ,double pipe,,alveolar,lateral click,,01C1,23A7
181,ɺ,turned long-leg R,voiced,alveolar,lateral flap,,027A,E2BF
182,ɕ,curly-tail C,voiceless,alveolo-palatal,fricative,,0255,E2CE
183,ʑ,curly-tail Z,voiced,alveolo-palatal,fricative,,0291,E2CF
