Symbol,Symbol Name,Voicing,Place of Articulation,Manner of Articulation,Status,IPA Number,UCS Code,AFII Code
ʛ,hooktop small capital G,voiced,uvular,implosive,,168,029B,E2F1
ʍ,turned W,voiceless,labial-velar,fricative,,169,028D,E2A7
w,lower-case W,voiced,labial-velar,approximant,,170,0077,E2A8
ɥ,turned H,voiced,labial-palatal,approximant,,171,0265,E2A6
ʜ,small capital H,voiceless,epiglottal,fricative,,172,029C,E2F2
ʡ,barred glottal stop,,epiglottal,plosive,,173,02A1,E2F7
ʢ,barred reversed glottal stop,voiced,epiglottal,fricative or approximant,,174,02A2,E2F8
ɧ,hooktop heng,voiceless,simultaneous postalveolar and velar,fricative,,175,0267,E2D6
ʘ,bull’s eye,,bilabial,click,,176,0298,E2AA
ǀ,pipe,,dental,click,,177,01C0,23A6
ǃ,exclamation point,,(post)alveolar,click,,178,01C3,23A5
ǂ,double-barred pipe,,palatoalveolar,click,,179,01C2,23A4
ǁ,double pipe,,alveolar,lateral click,,180,01C1,23A7
ɺ,turned long-leg R,voiced,alveolar,lateral flap,,181,027A,E2BF
ɕ,curly-tail C,voiceless,alveolo-palatal,fricative,,182,0255,E2CE
ʑ,curly-tail Z,voiced,alveolo-palatal,fricative,,183,0291,E2CF
